@relation 'AT: original_dataset-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.7p1+0.413p3+0.407p4+0.395p2-0.086stab... numeric
@attribute '0.698stab+0.27 g3+0.265tau2+0.255g2+0.245g1...' numeric
@attribute -0.598g4-0.399g1+0.351tau3+0.326tau2+0.295g2... numeric
@attribute 0.465tau1+0.429g2-0.388g3-0.345tau4-0.319p2... numeric
@attribute 0.476tau4-0.474g3+0.409g1-0.363p4+0.253g2... numeric
@attribute 0.471tau4+0.437p4-0.383tau2-0.343p2-0.313tau1... numeric
@attribute 0.518tau3-0.508p3+0.405p2+0.319g2-0.299tau4... numeric
@attribute '-0.48g1-0.469tau3+0.372tau2+0.37 p2-0.365p3...' numeric
@attribute 0.536tau1-0.403g3-0.391g1+0.364tau3+0.257g4... numeric
@attribute '0.61 tau2-0.466g3+0.431g4-0.393tau1-0.166g2...' numeric
@attribute -0.523g2+0.437p4-0.347g4-0.326p3+0.325tau4... numeric
@attribute stabf {unstable,stable}

@data
-0.256605,2.210503,-0.738603,-1.947719,0.989169,1.133471,0.586051,-0.227196,0.078509,-0.489747,-1.451146,unstable
-2.481137,-0.488077,-0.580595,2.231927,-1.480044,0.314011,0.181365,0.489872,0.060477,-0.36081,-0.775338,stable
0.589158,-0.186483,1.577149,1.351088,-1.753399,-1.305887,-0.098635,1.450836,-0.764382,-1.071185,-0.270983,unstable
-0.439707,0.332767,0.61196,-0.235382,-0.959754,0.185396,1.591617,0.911704,-2.739823,-0.21291,-0.856422,unstable
0.304997,1.656788,-1.089634,-0.641855,-0.080837,1.488654,0.265152,0.76689,-1.235181,0.816629,1.582017,unstable
-1.106515,-1.160652,0.927418,-0.252919,-0.724333,-1.503213,-2.37725,0.028084,0.917169,1.098648,-0.163615,stable
2.528377,-0.105964,0.479464,-0.624714,0.00506,0.829053,0.657485,1.058848,1.223817,-0.816072,1.194738,unstable
0.90772,0.252908,0.01774,-0.743811,0.476876,0.37097,0.169447,0.448297,0.64428,-1.992149,-0.26164,unstable
-0.208041,-2.606144,-0.390578,0.421914,0.073735,-0.090359,-0.644568,0.529397,0.530648,0.510494,-0.070617,stable
-1.979418,0.123602,1.867192,-0.390483,0.170342,-0.075819,-1.090898,-1.466474,1.766539,-2.215794,0.059963,unstable
2.794235,-1.005205,-0.11004,1.128374,-1.255359,-0.270542,1.598639,0.5255,0.78269,1.104201,-0.285557,stable
-3.294432,-0.085807,0.396923,-0.7324,-0.57301,0.133867,-0.126315,0.084163,0.972091,1.432434,1.141731,unstable
0.266115,-2.216364,0.179779,1.472677,1.644397,0.53207,0.137131,-0.493014,-2.215932,-0.499164,0.01935,stable
-2.177603,0.348921,0.151893,0.162796,1.157183,-0.552791,-2.271876,0.799419,0.827389,0.632621,0.948924,unstable
-2.34481,-0.353569,0.565177,-1.631517,0.165576,1.365832,0.076264,-1.131256,0.421954,0.409618,-0.776526,unstable
0.552667,2.035838,-1.341523,0.222321,0.574467,1.021242,0.109121,0.542208,0.464264,-0.064597,0.394278,unstable
-2.638395,1.506654,-0.027714,-1.444994,-1.908534,0.307212,0.131495,0.133349,0.283468,0.829359,0.20232,unstable
-0.328951,0.302298,-1.482831,0.311164,0.145435,2.387127,-0.511698,0.524224,-1.757479,-1.123751,0.150973,stable
-1.697168,0.595547,-0.920364,1.832209,0.982893,-1.644758,0.460673,1.076459,0.01987,0.361137,0.114328,unstable
-3.13528,0.957157,-0.270805,0.254413,0.95719,-0.138618,0.483177,0.111061,-0.399478,1.87795,0.441165,unstable
1.478942,1.688977,0.852977,2.207123,0.667892,1.069923,0.027265,0.291704,0.39879,-0.280632,0.524933,unstable
-0.218307,-2.283432,0.408045,2.181508,-0.015126,-1.023291,0.095385,0.684616,-0.294323,-0.34273,0.332142,stable
-0.982388,-1.558147,-0.080037,-0.601803,0.005696,1.341145,0.720194,-0.623652,1.240437,0.143981,1.914158,stable
0.014085,-1.390359,-0.170362,-0.744614,-0.873976,-1.949638,-0.054248,-0.215818,0.784688,0.30137,-0.478163,stable
0.114403,1.611194,0.59602,1.410963,0.662384,0.078703,-0.672302,0.846858,-2.229938,-1.275721,1.117888,unstable
0.79639,-2.305522,0.161146,0.884614,-0.424492,0.868752,-0.241863,0.982508,0.206094,-0.888201,0.788041,stable
-0.500469,-0.417694,-2.444711,-0.483866,1.638201,0.217722,-1.120836,0.026904,0.52356,-0.419331,0.651219,unstable
1.936058,-2.237063,-0.076851,-0.489451,-0.666486,-0.646252,0.132255,-1.27395,0.078133,2.121279,-0.114514,stable
0.379229,-1.201462,0.213774,-1.382953,-0.042418,-0.063955,-0.276148,0.033606,1.413507,2.280923,-0.747079,stable
0.672494,-1.06886,0.612783,0.981545,0.573633,1.71138,0.842711,1.167641,1.109792,-1.964255,1.278312,stable
1.537879,0.051203,-0.857267,0.773559,-1.339105,0.60496,-0.673271,-1.550004,-0.891771,-0.518135,-0.081817,unstable
-0.482304,-1.665454,-0.824665,-0.311948,0.585723,1.615958,-0.423064,-0.011343,0.460773,-0.14288,0.0851,stable
-0.718772,0.093034,1.684189,-0.04445,-0.182746,-0.691718,-0.330336,1.733265,-0.761904,-0.388328,-1.980214,unstable
-1.123042,2.382474,-1.010386,0.604311,0.606686,-1.077278,0.654064,-0.334723,0.375205,-1.146598,-0.283197,unstable
0.820036,-1.203095,0.934286,-1.715226,-1.135727,-1.839717,1.326605,0.473096,-0.325886,-0.081538,1.070759,stable
2.408549,0.793608,0.140945,1.506843,0.390387,-2.78081,-0.943382,-0.061418,-1.068896,-1.457902,-0.206052,unstable
1.771702,0.08391,1.138503,-0.284976,-0.954693,0.389304,-1.075149,-1.555257,1.288624,-0.414429,1.655006,unstable
-0.304348,0.240261,0.006426,1.957066,0.351617,0.875167,-1.428265,1.193754,0.857055,-0.278304,-0.243798,unstable
2.326124,-1.240284,-0.662885,0.352311,-0.425099,0.724458,0.827664,-0.383263,0.43438,0.872641,-1.39044,stable
-0.012673,-0.907034,0.980942,1.069249,0.631213,0.942653,-0.440925,0.297078,-2.245413,1.494418,1.478772,stable
-0.489397,1.076769,-0.515618,-0.378909,-0.161409,-1.285412,-3.414251,-0.11788,-0.261422,0.216334,0.217193,unstable
1.309627,1.405992,0.443934,-1.24914,-1.453362,1.711516,-1.03674,-0.471809,1.254247,0.958202,0.927036,unstable
0.433673,0.64028,-0.269883,0.266254,0.817299,0.268448,-2.510915,0.08558,-0.749376,1.469923,-0.108027,unstable
1.800749,-0.132831,-0.71144,1.751729,-0.071636,-0.084996,0.136396,-0.197641,-1.286425,0.671877,-0.366871,unstable
-0.584898,0.910449,-0.079143,-0.75563,0.284742,-0.040353,2.146267,-0.352203,-1.336148,-1.814896,0.12835,unstable
2.003142,-1.122468,-0.728241,0.825756,0.36993,-1.156061,0.690463,1.079213,0.73005,-0.422748,2.573046,stable
0.720161,-0.43564,-0.567403,0.750015,1.45053,-1.657958,-0.053715,0.987344,0.043963,-0.636117,1.205615,unstable
-1.18176,1.477632,0.124613,-0.13384,-0.075712,-0.297553,0.042731,-1.353532,-0.696865,-0.197103,-0.401097,unstable
0.070931,0.598921,-1.315393,-0.119766,-1.084939,1.366568,0.681877,-0.437907,1.025182,-0.811988,1.889481,unstable
0.515669,0.297733,-0.684238,1.266061,0.668914,0.137324,1.399464,-1.227781,1.019271,-1.584991,1.436541,unstable
-0.766954,-2.306621,-0.262235,-0.712619,-1.191459,2.255441,0.938017,-0.544544,0.270188,0.580567,0.576788,stable
-0.576309,2.847942,0.613396,-0.937279,-0.2221,-0.400704,-1.48274,-0.10663,0.213323,0.21935,-0.752785,unstable
0.504876,1.021925,-1.878681,-0.640624,1.189574,-0.560404,-1.983291,-0.707714,1.235034,-1.387835,0.114722,unstable
-1.166038,1.111166,0.970557,-0.070968,-0.840489,-1.204455,0.576178,-1.688618,-0.352167,0.142741,-0.854029,unstable
0.518717,0.631074,0.296785,0.238513,2.57497,-0.722536,-0.479472,-0.046773,0.381092,-1.155615,-0.822674,unstable
-0.868096,0.999062,-0.444031,-0.049236,-0.106941,1.011787,-2.267486,0.439955,-0.037121,1.615024,-0.063496,unstable
-0.176093,0.888169,-0.331158,2.447815,-0.403414,0.093958,-0.616611,0.597775,0.822977,0.196652,-1.516333,unstable
-0.234864,-1.217791,1.674538,-0.56214,-0.067315,0.31988,0.237949,-1.667374,0.064635,-1.120327,-1.71944,stable
0.344065,1.036943,-3.049755,-0.453604,0.734893,-0.158624,0.452793,0.798917,-0.196213,0.840411,1.1489,unstable
1.487965,1.724755,1.160222,-1.042239,-0.436922,0.487759,-0.92292,0.513506,1.154939,-0.785119,-0.021269,unstable
-0.29846,-0.815299,0.382831,-0.487285,1.716172,-1.30275,0.077714,2.478569,-0.789768,0.499052,-0.051206,stable
-0.436948,1.967163,-0.049746,-0.019936,2.775942,0.154574,-0.033779,-0.46169,-0.15596,-0.194778,-0.735755,unstable
-1.075648,-2.356384,-0.905528,0.548869,0.947314,0.223357,-0.955835,-0.517677,0.240894,-0.049893,0.573447,stable
-1.331096,1.271523,1.117938,0.92661,-0.687808,0.424085,0.227251,-0.524528,0.30308,1.016917,-1.150997,unstable
-0.528159,1.863666,0.610814,2.085616,0.446101,-0.031303,0.492281,-0.8996,0.737367,0.785413,1.861083,unstable
-2.235785,2.055281,0.717508,0.552459,-1.07592,1.466253,-1.187237,1.037369,0.502672,-1.426421,-0.522696,unstable
0.266715,-0.919528,-0.805518,1.067748,-0.325239,0.097812,0.829126,-0.741379,0.575032,-0.017535,-0.417659,stable
-0.091106,1.024492,-1.32831,0.463362,0.254579,1.308763,-0.899412,-0.716195,-0.164476,-1.114882,-0.159264,unstable
1.522467,-0.398528,0.99444,-0.301551,-0.335636,-0.300091,-1.163886,-0.429785,0.437798,0.71898,0.611808,unstable
-0.177976,-2.247325,1.113501,-1.117062,0.586891,0.54596,0.174998,0.463452,1.892915,-0.356851,1.840297,stable
0.463852,0.01058,-0.498181,-0.607214,0.336437,-0.516482,-0.048253,-0.518945,-0.719969,-1.778749,-1.942036,unstable
-2.081727,0.044228,-0.818313,-0.426254,-1.136009,1.279425,-1.395287,0.700708,1.429266,-0.805933,0.64156,unstable
0.194078,0.442347,0.795998,1.649482,2.163584,-0.492784,-1.099535,1.275355,0.76607,0.099355,-0.955297,unstable
0.16006,-0.704615,-1.444172,0.92792,0.099368,-0.403122,0.992703,-0.643008,2.186268,0.139588,0.375486,stable
0.631473,-0.161072,-0.808759,1.655136,1.596678,2.586381,-0.173335,0.629465,-0.897358,0.742715,0.367809,unstable
-0.150225,-0.228808,0.631111,2.322661,0.717828,-1.640661,-1.467327,-0.545581,-1.330663,0.560761,0.625956,unstable
-1.356523,0.310015,0.717411,0.773658,0.810213,0.006168,-2.508415,1.817804,1.882487,1.126299,-0.867622,unstable
0.068828,-0.613062,-0.0293,-1.759748,-1.752775,-0.864154,0.500855,-1.505863,0.615922,-0.670201,-0.195975,stable
-2.456071,0.029809,-1.456533,1.11981,-0.909745,-1.264377,-0.609273,-1.114531,0.322004,0.298732,-0.075757,unstable
0.10585,-0.031071,-1.653567,0.003629,-0.0268,0.563813,2.068785,-1.195951,-1.010795,-0.377842,-1.740806,stable
