symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
1,0.298429,0,0,0,0,0,0,0,0.058309,0.413433,0.316667,0.083333,0.411171,0,0,0.260377,0,0.664286,0.290476,0.125,0.2625,0.346939,0.222222,0.289474,13495
1,0.298429,0,0,0,0,0,0,0,0.058309,0.413433,0.316667,0.083333,0.411171,0,0,0.260377,0,0.664286,0.290476,0.125,0.2625,0.346939,0.222222,0.289474,16500
0.6,0.298429,0,0,0,0,1,0,0,0.230321,0.449254,0.433333,0.383333,0.517843,1,1,0.343396,0,0.1,0.666667,0.125,0.441667,0.346939,0.166667,0.263158,16500
0.8,0.518325,1,0,0,1,2,1,0,0.38484,0.529851,0.491667,0.541667,0.329325,2,0,0.181132,0,0.464286,0.633333,0.1875,0.225,0.55102,0.305556,0.368421,13950
0.8,0.518325,1,0,0,1,2,2,0,0.373178,0.529851,0.508333,0.541667,0.518231,2,2,0.283019,0,0.464286,0.633333,0.0625,0.279167,0.55102,0.138889,0.157895,17450
0.8,0.298429,1,0,0,0,2,1,0,0.38484,0.540299,0.5,0.441667,0.395268,2,2,0.283019,0,0.464286,0.633333,0.09375,0.258333,0.55102,0.166667,0.236842,15250
0.6,0.486911,1,0,0,1,2,1,0,0.559767,0.770149,0.925,0.658333,0.525989,2,2,0.283019,0,0.464286,0.633333,0.09375,0.258333,0.55102,0.166667,0.236842,17710
0.6,0.298429,1,0,0,1,3,1,0,0.559767,0.770149,0.925,0.658333,0.568658,2,2,0.283019,0,0.464286,0.633333,0.09375,0.258333,0.55102,0.166667,0.236842,18920
0.6,0.486911,1,0,1,1,2,1,0,0.559767,0.770149,0.925,0.675,0.61986,2,2,0.264151,0,0.421429,0.633333,0.08125,0.383333,0.55102,0.111111,0.105263,23875
0.4,0.298429,1,0,1,0,1,2,0,0.376093,0.553731,0.633333,0.35,0.60706,2,2,0.264151,0,0.421429,0.633333,0,0.466667,0.55102,0.083333,0.157895,?
0.8,0.664921,2,0,0,0,2,0,0,0.425656,0.532836,0.375,0.541667,0.351823,2,0,0.177358,0,0.685714,0.347619,0.1125,0.220833,0.673469,0.277778,0.342105,16430
0.4,0.664921,2,0,0,1,2,0,0,0.425656,0.532836,0.375,0.541667,0.351823,2,0,0.177358,0,0.685714,0.347619,0.1125,0.220833,0.673469,0.277778,0.342105,16925
0.4,0.643979,2,0,0,0,2,0,0,0.425656,0.532836,0.375,0.541667,0.474011,2,1,0.388679,0,0.55,0.533333,0.125,0.304167,0.040816,0.222222,0.315789,20970
0.4,0.643979,2,0,0,1,2,0,0,0.425656,0.532836,0.375,0.541667,0.495345,2,1,0.388679,0,0.55,0.533333,0.125,0.304167,0.040816,0.222222,0.315789,21105
0.6,0.298429,2,0,0,1,2,0,0,0.492711,0.714925,0.55,0.658333,0.607836,2,1,0.388679,0,0.55,0.533333,0.125,0.304167,0.040816,0.194444,0.236842,24565
0.4,0.298429,2,0,0,1,2,0,0,0.492711,0.714925,0.55,0.658333,0.675718,2,1,0.558491,0,0.771429,0.628571,0.0625,0.558333,0.510204,0.083333,0.157895,30760
0.4,0.298429,2,0,0,0,2,0,0,0.492711,0.786567,0.633333,0.491667,0.733902,2,1,0.558491,0,0.771429,0.628571,0.0625,0.558333,0.510204,0.083333,0.157895,41315
0.4,0.298429,2,0,0,1,2,0,0,0.682216,0.834328,0.883333,0.708333,0.782389,2,1,0.558491,0,0.771429,0.628571,0.0625,0.558333,0.510204,0.055556,0.105263,36880
0.8,0.293194,3,0,0,0,1,1,0,0.052478,0,0,0.45,0,3,3,0,1,0.264286,0.457143,0.15625,0,0.387755,0.944444,0.973684,5151
0.6,0.172775,3,0,0,0,1,1,0,0.230321,0.220896,0.275,0.35,0.149728,2,0,0.109434,1,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,6295
0.4,0.08377,3,0,0,1,2,1,0,0.230321,0.264179,0.275,0.35,0.163305,2,0,0.109434,1,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,6575
0.6,0.277487,4,0,0,0,1,1,0,0.206997,0.241791,0.291667,0.25,0.150504,2,0,0.109434,1,0.307143,0.552381,0.150625,0.083333,0.55102,0.666667,0.657895,5572
0.6,0.277487,4,0,0,0,1,1,0,0.206997,0.241791,0.291667,0.25,0.150504,2,0,0.109434,1,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,6377
0.6,0.277487,4,0,1,0,1,1,0,0.206997,0.241791,0.291667,0.25,0.248254,2,0,0.139623,0,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,7957
0.6,0.434555,4,0,0,1,1,1,0,0.206997,0.241791,0.291667,0.233333,0.185803,2,0,0.109434,1,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,6229
0.6,0.434555,4,0,0,1,2,1,0,0.206997,0.241791,0.291667,0.233333,0.194337,2,0,0.109434,1,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,6692
0.6,0.434555,4,0,0,1,2,1,0,0.206997,0.241791,0.291667,0.233333,0.194337,2,0,0.109434,1,0.307143,0.552381,0.15,0.083333,0.55102,0.5,0.578947,7609
0.6,0.434555,4,0,1,1,2,1,0,0.206997,0.241791,0.291667,0.233333,0.272692,2,0,0.139623,0,0.35,0.628571,0.0375,0.225,0.55102,0.305556,0.368421,8558
0.2,0.235602,4,0,0,1,3,1,0,0.48688,0.5,0.358333,1,0.406129,2,0,0.230189,1,0.571429,0.661905,0.09375,0.166667,0.346939,0.305556,0.368421,8921
1,0.418848,4,0,1,0,1,1,0,0.271137,0.479104,0.5,0.2,0.513189,2,0,0.358491,2,0.757143,0.871429,0,0.404167,0.346939,0.166667,0.210526,12964
0.8,0.376963,5,0,0,0,1,1,0,0,0.052239,0.3,0.25,0.087277,2,0,0.116981,3,0.264286,0.638095,0.1625,0.041667,0.265306,1,1,6479
0.8,0.376963,5,0,0,0,1,1,0,0,0.052239,0.3,0.25,0.128394,2,0,0.116981,3,0.264286,0.638095,0.1375,0.116667,0.755102,0.5,0.578947,6855
0.6,0.188482,5,0,0,0,1,1,0,0.206997,0.132836,0.308333,0.4,0.135376,2,0,0.067925,3,0.264286,0.47619,0.19375,0.05,0.55102,0.694444,0.684211,5399
0.6,0.188482,5,0,0,0,1,1,0,0.206997,0.132836,0.308333,0.4,0.17533,2,0,0.116981,3,0.264286,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,6529
0.6,0.188482,5,0,0,0,1,1,0,0.206997,0.132836,0.308333,0.4,0.181536,2,0,0.116981,3,0.264286,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,7129
0.4,0.235602,5,0,0,1,2,1,0,0.28863,0.332836,0.308333,0.558333,0.202483,2,0,0.116981,3,0.264286,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,7295
0.4,0.068063,5,0,0,1,3,1,0,0.28863,0.238806,0.3,0.875,0.207913,2,0,0.116981,3,0.271429,0.638095,0.1375,0.116667,0.755102,0.472222,0.473684,7295
0.4,0.21466,5,0,0,0,1,1,0,0.28863,0.39403,0.408333,0.458333,0.290147,2,0,0.184906,3,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,7895
0.4,0.21466,5,0,0,0,1,1,0,0.28863,0.39403,0.408333,0.458333,0.310706,2,0,0.184906,3,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,9095
0.4,0.104712,5,0,0,1,2,1,0,0.28863,0.51194,0.408333,0.525,0.316524,2,0,0.184906,3,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,8845
0.4,0.104712,5,0,0,1,2,1,0,0.28863,0.51194,0.183333,0.525,0.342901,2,0,0.184906,3,0.435714,0.719048,0.125,0.158333,0.673469,0.388889,0.447368,10295
0.4,0.104712,5,0,0,1,2,1,0,0.28863,0.51194,0.408333,0.525,0.378976,2,0,0.184906,0,0.435714,0.719048,0.125,0.220833,0.673469,0.305556,0.315789,12945
0.6,0.219895,5,0,0,0,2,1,0,0.28863,0.41791,0.475,0.266667,0.312258,2,0,0.184906,1,0.435714,0.719048,0.13125,0.216667,0.55102,0.333333,0.394737,10345
0.4,0.298429,6,0,0,1,2,0,0,0.22449,0.441791,0.125,0.475,0.329325,2,0,0.188679,1,0.55,0.552381,0.09375,0.125,0.265306,0.305556,0.342105,6785
0.6,0.298429,6,0,0,0,2,1,0,0.230321,0.220896,0.275,0.35,0.149728,2,0,0.109434,1,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,?
0.4,0.298429,6,0,0,1,2,1,0,0.230321,0.220896,0.275,0.35,0.163305,2,0,0.109434,1,0.35,0.495238,0.1625,0.091667,0.510204,0.694444,0.710526,?
